Date       Time     Site  Ant    Freq Code Power   
2016-03-20 00:33:09    7    1 149.800   20   -99
2016-03-20 00:33:10    7    1 149.740    9   -82
2016-03-20 00:33:11    7    1 149.740   13   -83
2016-03-20 00:33:11    7    1 149.760   14   -88
2016-03-20 00:33:12    7    1 149.340   20   -69
2016-03-20 00:33:13    7    1 149.740    9   -89
2016-03-20 00:33:14    7    1 149.760   13   -89
2016-03-20 00:33:16    7    1 149.740    9   -89
2016-03-20 00:33:16    7    1 149.720    3  -110
2016-03-20 00:33:17    7    1 149.340   20   -75
2016-03-20 00:33:19    7    1 149.740    9   -85
2016-03-20 00:33:19    7    1 149.800   20   -99
2016-03-20 00:33:21    7    1 149.740   13   -83
2016-03-20 00:33:21    7    1 149.760   14   -89
2016-03-20 00:33:22    7    1 149.740    9   -84
2016-03-20 00:33:24    7    1 149.760   13   -89
2016-03-20 00:33:25    7    1 149.740    9   -86
2016-03-20 00:33:26    7    1 149.780  116  -112
2016-03-20 00:33:27    7    1 149.340   20   -84
2016-03-20 00:33:28    7    1 149.740    9   -87
2016-03-20 00:33:30    7    1 149.800   20   -99
2016-03-20 00:33:31    7    1 149.740   13   -83
2016-03-20 00:33:31    7    1 149.740    9   -81
2016-03-20 00:33:32    7    1 149.720    3  -102
2016-03-20 00:33:32    7    1 149.760   14   -89
2016-03-20 00:33:32    7    1 149.340   20   -83
2016-03-20 00:33:34    7    1 149.740  136  -109
2016-03-20 00:33:34    7    1 149.760   13   -89
2016-03-20 00:33:35    7    1 149.740    9   -85
2016-03-20 00:33:38    7    1 149.720    3  -107
2016-03-20 00:33:38    7    1 149.740    9   -87
2016-03-20 00:33:40    7    1 149.800   20   -98
2016-03-20 00:33:41    7    1 149.740    9   -85
2016-03-20 00:33:41    7    1 149.740   13   -93
2016-03-20 00:33:42    7    1 149.760   14   -95
2016-03-20 00:33:44    7    1 149.740    9   -82
2016-03-20 00:33:44    7    1 149.760   13   -96
2016-03-20 00:33:47    7    1 149.740    9   -89
2016-03-20 00:33:47    7    1 149.340   20   -94
2016-03-20 00:33:50    7    1 149.800   20   -98
2016-03-20 00:33:50    7    1 149.740    9   -77
2016-03-20 00:33:51    7    1 149.780   41  -112
2016-03-20 00:33:51    7    1 149.740   13   -94
2016-03-20 00:33:52    7    1 149.760   14   -94
2016-03-20 00:33:52    7    1 149.340   20   -95
2016-03-20 00:33:53    7    1 149.720    3  -105
2016-03-20 00:33:53    7    1 149.740    9   -84
2016-03-20 00:33:54    7    1 149.760   13   -91
2016-03-20 00:33:56    7    1 149.740    9   -82
2016-03-20 00:33:57    7    1 149.340   20   -93
2016-03-20 00:33:59    7    1 149.740    9   -86
2016-03-20 00:34:00    7    1 149.800   20   -98
2016-03-20 00:34:01    7    1 149.740   13   -84
2016-03-20 00:34:02    7    1 149.760   14   -90
2016-03-20 00:34:02    7    1 149.340    9   -95
2016-03-20 00:34:02    7    1 149.740    9   -82
2016-03-20 00:34:03    7    1 149.340   20   -97
2016-03-20 00:34:05    7    1 149.760   13   -89
2016-03-20 00:34:06    7    1 149.740    9   -83
2016-03-20 00:34:08    7    1 149.340   20   -94
2016-03-20 00:34:09    7    1 149.740    9   -85
2016-03-20 00:34:10    7    1 149.800   20   -98
2016-03-20 00:34:11    7    1 149.740   13   -84
2016-03-20 00:34:12    7    1 149.740    9   -79
2016-03-20 00:34:12    7    1 149.760   14   -90
